awb,date,mode,client,origin,destination,consignor,consignee,box,actual_wt,charge_wt,type_of_delivery,insured,remarks,clerk_name,status,frieght_charge,awb_charge,pickup_charge,delivery_charge,packaging_charge,handling_charge
205252,27-07-2026,road,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,7,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205253,27-07-2026,air,belrise industries ltd unit -ix,pune,pantnagar,a1 stampings,belrise industries ltd unit -ix,4,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205254,27-07-2026,air,belrise industries ltd unit -ix,pune,pantnagar,badve autocomps pvt ltd 1k,belrise industries ltd unit -ix,16,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205255,27-07-2026,train,dali samir engg pvt ltd- ptn,pune,pantnagar,sansa auto engineering company - pune,dali samir engg pvt ltd- ptn,11,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205256,27-07-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205257,27-07-2026,air,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,3,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205258,27-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),35,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205259,27-07-2026,air,belrise industries ltd unit -ix,pune,pantnagar,badve autocomps pvt ltd-ii,belrise industries ltd unit -ix,10,0,0,auto parts ,client,simmonds marshall limited 2 bag after packing total 11 pkg,sanjit,0,0,0,0,0,0,0
205260,28-07-2026,road,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,30,0,0,auto parts ,client,na ,admin,0,0,0,0,0,0,0
205261,28-07-2026,train,himalayan auto era pvt ltd,pantnagar,pune,himalayan auto era pvt ltd,venkatesh automobile pvt ltd,5,0,0,auto parts,client,,admin,0,0,0,0,0,0,0
205262,28-07-2026,air,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205263,28-07-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),5,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205264,28-07-2026,train,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),7,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205265,28-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),35,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205266,28-07-2026,air,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,16,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205267,28-07-2026,air,belrise industries ltd unit -ix,aurangabad,pantnagar,badve autocomps pvt ltd 1k,belrise industries ltd unit -ix,20,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205268,29-07-2026,air,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,30,0,0,auto parts ,client,,admin,0,0,0,0,0,0,0
205269,28-07-2026,air,dali samir engg.pvt ltd-pune,bangalore,pune,tiss-kgk security systems pvt ltd,dali samir engg.pvt ltd-pune,3,0,0,auto parts ,client,,admin,0,0,0,0,0,0,0
205270,29-07-2026,air,dali samir engg.pvt ltd-pune,bangalore,pune,tiss-kgk security systems pvt ltd,dali samir engg.pvt ltd-pune,4,0,0,auto parts ,client,,admin,0,0,0,0,0,0,0
205271,29-07-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205272,29-07-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,advik hi-tech pvt ltd,1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205273,29-07-2026,train,dali samir engg.pvt ltd-pune,pune,pantnagar,sansa auto engineering company - pune,dali samir engg pvt ltd- ptn,4,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205274,29-07-2026,air,belrise industries ltd unit -ix,aurangabad,pantnagar,badve autocomps pvt ltd 1k,belrise industries ltd unit -ix,10,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205275,29-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),25,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
