Trip no,Vendor name,Created at,Client name,Origin,Destination,Freight,Status,Remarks,Detail date,Handover to,Vehicle no,From,To,Mode,Amount,Status
VND-025,SACHIN,07-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,07.08.2026,NA,MH12WR1911,CHINCHWAD,DEHU,TRAIN,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,DEHU,TALWADE,AIR,0,Pending
,,,PJ AUTOMATION SOLUTION,,PANTNAGAR,0,Pending,,,NA,,TALWADE,AIRPORT/STATION,AIR,0,Pending
VND-027,SKY4,08-08-2026,ASHA INDUSTRIES,AURANGABAD,PANTNAGAR,0,Pending,,08.08.2026,NA,-,AALANDI PHATA,GODOWN,TRAIN,0,Pending
VND-028,SACHIN,08-08-2026,SHRI RAM INDUSTRIES,ROHTAK,PUNE,0,Pending,DELIVERY IN U.S. AUTO DEHU PLANT,08.08.2026,NA,MH12WR1911,AIRORT,DEHU,AIR,0,Pending
VND-029,SACHIN,08-08-2026,FRACTMET ENGINEERING LLP,PUNE,PANTNAGAR,0,Pending,,08.08.2026,NA,MH12LT6492,VITTHALWADI,SING ROADLINES,ROAD-EXPRESS,0,Pending
VND-030,SACHIN,08-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,08.08.2026,NA,MH11BL6889,DEHU/TALWADE,AIRPORT,AIR,0,Pending
VND-031,SACHIN,08-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,08.08.2026,NA,MH12LT6492,CHINCHWAD,GODOWN,TRAIN,0,Pending
,,,ASHA INDUSTRIES,AURANGABAD,PANTNAGAR,0,Pending,,,,,GODOWN,STATION,TRAIN,0,Pending
VND-032,SACHIN,09-08-2026,BELRISE INDUSTRIES LTD UNIT -IX,PANTNAGAR,PUNE,0,Pending,DELIVERY,09.08.2026,NA,MH11BL6889,AIRPORT,MAHALUNGE,AIR,0,Pending
VND-033,SACHIN,09-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,09.08.2026,NA,MH12WR1911,DEHU,AIRPORT,AIR,0,Pending
VND-034,SACHIN,09-08-2026,SHREE KAPOOR INDUSTRIES,PUNE,PANTNAGAR,0,Pending,,09.08.2026,NA,MH12LT6492,HADAPSAR,STATION,TRAIN,0,Pending
VND-035,TUPE JI,10-08-2026,HARIHARESHWAR AUTO TECH PRIVATE LIMITED,PANTNAGAR,PUNE,0,Pending,DELIVERY,10.08.2026,NA,-,SING ROADLINES,DEHU,ROAD,0,Pending
VND-036,SACHIN,10-08-2026,BELRISE INDUSTRIES LTD UNIT -IX,PANTNAGAR,PUNE,0,Pending,DELIVERY,10.08.2026,NA,MH11BL6889,AIRPORT,MAHALUNGE,AIR,0,Pending
VND-037,SACHIN,10-08-2026,BADVE AUTOCOMPS PVT LTD-II,PUNE,PANTNAGAR,0,Pending,,10.08.2026,NA,MH11BL6889,MAHALUNGE,TALWADE,AIR,0,Pending
,,,,,PANTNAGAR,0,Pending,,,,,,,AIR,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,NA,,TALWADE,AIRPORT,AIR,0,Pending
VND-038,SELF,10-08-2026,DHANANJAY AUTO CRAFT PVT.LTD - I,AURANGABAD,PANTNAGAR,0,Pending,,10.08.2026,NA,-,AURANGABAD,AIRPORT,AIR,0,Pending
VND-039,SACHIN,11-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,11.08.2026,NA,MH12WR1911,TALWADE,SING ROADLINES,ROAD,0,Pending
VND-040,SACHIN,11-08-2026,ATHARVA FOUNDRIES PVT. LTD.,PUNE,PANTNAGAR,0,Pending,PICK-UP IN VENKATESH COMPANY,11.08.2026,NA,MH12WR1911,KHARABWADI,SING ROADLINES,ROAD-EXPRESS,0,Pending
VND-041,SACHIN,11-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,11.08.2026,NA,MH12WR1911,CHINCHWAD,AIRPORT,AIR,0,Pending
VND-042,SACHIN,11-08-2026,BADVE AUTOCOMPS PVT LTD-II,PUNE,PANTNAGAR,0,Pending,,11.08.2026,NA,MH12LT6492,MAHALUNGE,TALWADE,AIR,0,Pending
,,,,,PANTNAGAR,0,Pending,,,,,,,AIR,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,TALWADE,AIRPORT,AIR,0,Pending
VND-043,SACHIN,12-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,12.08.2026,NA,MH12WR1911,CHINCHWAD,AIRPORT,AIR,0,Pending
VND-044,SACHIN,12-08-2026,BADVE AUTOCOMPS PVT LTD-II,PUNE,PANTNAGAR,0,Pending,,12.08.2026,NA,MH12LT6492,MAHALUNGE,TALWADE,AIR,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,TALWADE,AIRPORT,AIR,0,Pending
VND-045,SELF,12-08-2026,AOR,DELHI,PUNE,0,Pending,MCPL/DELIVERY,12.08.2026,NA,PORTER,AIRPORT,MAHALUNGE,AIR,0,Pending
,,,BELRISE INDUSTRIES LTD UNIT -IX,PANTNAGAR,PUNE,0,Pending,BELRISE 13 BAG HOLD IN GODOWN,,,,MAHALUNGE,GODOWN,AIR,0,Pending
VND-046,SACHIN,13-08-2026,BELRISE INDUSTRIES LTD UNIT -IX,PANTNAGAR,PUNE,0,Pending,DEIVERY,13.08.2026,NA,MH12LT6492,GODOWN,MAHALUNGE,AIR,0,Pending
