"awb","date","mode","client","origin","destination","consignor","consignee","box","actual_wt","charge_wt","type_of_delivery","insured","remarks","clerk_name","status","frieght_charge","awb_charge","pickup_charge","delivery_charge","packaging_charge","handling_charge"
"204763","2026-05-29","Air","U. S. AUTO CONTROLS PVT LTD ","PUNE","PANTNAGAR","U. S. AUTO CONTROLS PVT LTD ","BELRISE INDUSTRIES LTD UNIT -IX","02","0.00","50.00","Auto Parts ","Client","NA","SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204764","2026-05-29","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","22","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204765","2026-05-27","Train","PRECIFAST PRIVATE LIMITED","PUNE","PANTNAGAR","PRECIFAST PRIVATE LIMITED","UNO MINDA LIMITED","14","0.00","280.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204766","2026-05-30","Road Express","HIMALAYAN AUTO ERA PVT LTD","PUNE","PANTNAGAR","FRACTMET ENGINEERING LLP","HIMALAYAN AUTO ERA PVT LTD","12","0.00","250.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204767","2026-05-29","Road","SKY 4 PUNE","PANTNAGAR","PANTNAGAR","L & L PRODICTS INDIA PVT. LTD.","L & L PRODICTS INDIA PVT. LTD.","56","0.00","0.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204768","2026-05-29","Road","SKY 4 PUNE","PANTNAGAR","PANTNAGAR","L & L PRODICTS INDIA PVT. LTD.","L & L PRODICTS INDIA PVT. LTD.","51","0.00","0.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204769","2026-05-29","Road","SKY 4 PUNE","PANTNAGAR","PANTNAGAR","L & L PRODICTS INDIA PVT. LTD.","L & L PRODICTS INDIA PVT. LTD.","41","0.00","0.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204770","2026-05-30","Air","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","10","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204771","2026-05-30","Air","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","RUPKANT INDUSTRIES ","STARWAYS INDUSTRIES (SI)","01","0.00","0.00","Auto Parts ","Client","NA","Admin","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204772","2026-05-30","Air","DALI SAMIR ENGG.PVT LTD-PUNE","PUNE","PANTNAGAR","PREMIER SEALS PVT LTD","DALI SAMIR ENGG PVT LTD- PTN","01","0.00","50.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
